Link to article	Type of article	Type of Event	Key persons/organizations mentioned	Key places mentioned in the document
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c702b21230d8759e600719a	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f06d0230d8759e62678fc	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c735acc230d8759e608ce06	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70fddd230d8759e6029c6d	Political	Verbal Conflict/Verbal Cooperation	las Farc, la guerrilla, el gobierno	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c78fe20230d8759e6172d0d	Political	Verbal Cooperation/Material Cooperation	Andi-Fundación Mamonal, el gobierno de “Primero la Gente”, la ANDI, Fundación Mamonal, el secretario Germán Sierra Anaya, Vivian Eljaiek (gerente de ANDI Bolívar), Alejandra Espinosa (directora de Fundación Mamonal), la Secretaría de Educación, alcalde Manuel Vicente Duque, el secretario de Educación Distrital	Cartagena, la sede de la Secretaría de Educación
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75114e230d8759e60d4d38	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c76bd2f230d8759e6118e20	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c79b341230d8759e618f77a	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75c63f230d8759e60f19b4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7cf0a3230d8759e621474f	Political	Material Cooperation	ExxonMobil (La petrolera estadounidense), Total (la francesa/la empresa francesa), Total E&P Uruguay BV, el Gobierno, Ancap (la empresa estatal uruguaya de hidrocarburos), ExxonMobil Exploration, Production Uruguay BV, Fuentes de Ancap	la plataforma marítima continental de Uruguay, Uruguay, La plataforma marítima, Montevideo, la India
